MESS_DATUM,T_aussen_C,Heizlast_kW
2019010404,1.6,1006.4786199999999
2019010405,1.2,1028.35859
2019010406,1.7,1001.0086275
2019010407,2.3,968.1886724999999
2019010408,2.4,518.2386800000002
2019010409,2.0,0.0
2019010410,2.9,0.0
2019010411,3.4,0.0
2019010412,3.9,0.0
2019010413,4.4,0.0
2019010414,4.2,0.0
2019010415,3.8,441.658785
2019010416,3.5,902.5487625
2019010417,3.3,913.4887475
2019010418,3.2,918.95874
2019010419,3.1,924.4287324999999
2019010420,2.8,940.83871
2019010421,2.8,940.83871
2019010422,2.9,935.3687175000001
2019010423,3.1,924.4287324999999
2019010500,3.5,902.5487625
2019010501,3.8,886.138785
2019010502,4.2,864.2588149999999
2019010503,4.1,869.7288075
2019010504,4.4,853.3188299999999
2019010505,4.6,842.378845
2019010506,5.1,815.0288825
2019010507,5.7,782.2089275
2019010508,6.2,310.378965
2019010509,6.1,0.0
2019010510,6.3,0.0
2019010511,6.3,0.0
2019010512,6.3,0.0
2019010513,6.5,0.0
2019010514,6.3,0.0
2019010515,6.3,527.1489725
2019010516,5.9,771.2689425
2019010517,5.9,771.2689425
2019010518,5.7,782.2089275
2019010519,5.7,782.2089275
2019010520,5.8,776.7389350000001
2019010521,5.7,782.2089275
2019010522,5.6,787.6789200000001
2019010523,5.6,787.6789200000001
2019010600,5.5,793.1489124999999
2019010601,5.1,815.0288825
2019010602,5.1,815.0288825
2019010603,5.1,815.0288825
2019010604,5.0,820.498875
2019010605,5.0,820.498875
2019010606,5.1,815.0288825
2019010607,4.9,825.9688675
2019010608,4.9,159.32886749999994
2019010609,4.8,0.0
2019010610,4.9,0.0
2019010611,5.1,0.0
2019010612,5.2,0.0
2019010613,5.4,0.0
2019010614,5.6,0.0
2019010615,5.2,0.0
2019010616,4.7,836.9088525000001
2019010617,4.9,825.9688675
2019010618,4.9,825.9688675
2019010619,5.1,815.0288825
2019010620,4.9,825.9688675
2019010621,4.7,836.9088525000001
2019010622,4.7,836.9088525000001
2019010623,4.6,842.378845
2019010700,4.5,847.8488375000001
2019010701,4.3,858.7888225
2019010702,4.1,869.7288075
2019010703,4.0,875.1988
2019010704,3.7,891.6087775
2019010705,2.7,946.3087025
2019010706,2.6,951.7786949999999
2019010707,2.4,962.7186800000002
2019010708,1.9,101.18864250000007
2019010709,3.2,0.0
2019010710,4.3,0.0
2019010711,5.0,0.0
2019010712,5.5,0.0
2019010713,5.4,0.0
2019010714,5.0,0.0
