DateTime;Energy_kW
2019010100;0
2019010101;0
2019010102;0
2019010103;0
2019010104;0
2019010105;0
2019010106;2528.0
2019010107;2528.0
2019010108;2528.0
2019010109;2528.0
2019010110;2528.0
2019010111;2528.0
2019010112;2528.0
2019010113;2528.0
2019010114;2528.0
2019010115;2528.0
2019010116;2528.0
2019010117;2528.0
2019010118;2528.0
2019010119;2528.0
2019010120;0
2019010121;0
2019010122;0
2019010123;0
2019010200;0
2019010201;0
2019010202;0
2019010203;0
2019010204;0
2019010205;0
2019010206;2528.0
2019010207;2528.0
2019010208;2528.0
2019010209;2528.0
2019010210;2528.0
2019010211;2528.0
2019010212;2528.0
2019010213;2528.0
2019010214;2528.0
2019010215;2528.0
2019010216;2528.0
2019010217;2528.0
2019010218;2528.0
2019010219;2528.0
2019010220;0
2019010221;0
2019010222;0
2019010223;0
2019010300;0
2019010301;0
2019010302;0
2019010303;0
2019010304;0
2019010305;0
2019010306;2528.0
2019010307;2528.0
2019010308;2528.0
2019010309;2528.0
2019010310;2528.0
2019010311;2528.0
2019010312;2528.0
2019010313;2528.0
2019010314;2528.0
2019010315;2528.0
2019010316;2528.0
2019010317;2528.0
2019010318;2528.0
2019010319;2528.0
2019010320;0
2019010321;0
2019010322;0
2019010323;0
2019010400;0
2019010401;0
2019010402;0
2019010403;0
2019010404;0
2019010405;0
2019010406;2528.0
2019010407;2528.0
2019010408;2528.0
2019010409;2528.0
2019010410;2528.0
2019010411;2528.0
2019010412;2528.0
2019010413;2528.0
2019010414;2528.0
2019010415;2528.0
2019010416;2528.0
2019010417;2528.0
2019010418;2528.0
2019010419;2528.0
2019010420;0
2019010421;0
2019010422;0
2019010423;0
2019010500;0
2019010501;0
2019010502;0
2019010503;0
2019010504;0
2019010505;0
2019010506;2528.0
2019010507;2528.0
2019010508;2528.0
2019010509;2528.0
2019010510;2528.0
2019010511;2528.0
2019010512;2528.0
2019010513;2528.0
2019010514;2528.0
2019010515;2528.0
2019010516;2528.0
2019010517;2528.0
2019010518;2528.0
2019010519;2528.0
2019010520;0
2019010521;0
2019010522;0
2019010523;0
2019010600;0
2019010601;0
2019010602;0
2019010603;0
2019010604;0
2019010605;0
2019010606;2528.0
2019010607;2528.0
2019010608;2528.0
2019010609;2528.0
2019010610;2528.0
2019010611;2528.0
2019010612;2528.0
2019010613;2528.0
2019010614;2528.0
2019010615;2528.0
2019010616;2528.0
2019010617;2528.0
2019010618;2528.0
2019010619;2528.0
2019010620;0
2019010621;0
