STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
2667;2024010100;3;   7.9;  74.0;eor
2667;2024010101;3;   7.4;  74.0;eor
2667;2024010102;3;   8.0;  69.0;eor
2667;2024010103;3;   8.3;  67.0;eor
2667;2024010104;3;   8.5;  66.0;eor
2667;2024010105;3;   8.5;  66.0;eor
2667;2024010106;3;   8.3;  66.0;eor
2667;2024010107;3;   8.3;  66.0;eor
2667;2024010108;3;   8.0;  68.0;eor
2667;2024010109;3;   7.2;  75.0;eor
2667;2024010110;3;   7.4;  71.0;eor
2667;2024010111;3;   7.8;  72.0;eor
2667;2024010112;3;   8.2;  70.0;eor
2667;2024010113;3;   8.6;  68.0;eor
2667;2024010114;3;   8.7;  66.0;eor
2667;2024010115;3;   8.7;  66.0;eor
2667;2024010116;3;   8.4;  67.0;eor
2667;2024010117;3;   8.3;  68.0;eor
2667;2024010118;3;   6.6;  85.0;eor
2667;2024010119;3;   7.5;  76.0;eor
2667;2024010120;3;   7.5;  74.0;eor
2667;2024010121;3;   7.4;  74.0;eor
2667;2024010122;3;   7.3;  77.0;eor
2667;2024010123;3;   6.8;  85.0;eor
2667;2024010200;3;   7.0;  85.0;eor
2667;2024010201;3;   6.9;  89.0;eor
2667;2024010202;3;   6.9;  90.0;eor
2667;2024010203;3;   6.7;  91.0;eor
2667;2024010204;3;   6.5;  92.0;eor
2667;2024010205;3;   7.1;  92.0;eor
2667;2024010206;3;   8.1;  91.0;eor
2667;2024010207;3;   9.9;  85.0;eor
2667;2024010208;3;  10.9;  80.0;eor
2667;2024010209;3;  11.5;  78.0;eor
2667;2024010210;3;  11.6;  78.0;eor
2667;2024010211;3;  11.7;  74.0;eor
2667;2024010212;3;  10.1;  86.0;eor
2667;2024010213;3;   9.3;  91.0;eor
2667;2024010214;3;   9.4;  89.0;eor
2667;2024010215;3;   9.5;  88.0;eor
2667;2024010216;3;   9.6;  88.0;eor
2667;2024010217;3;   9.7;  89.0;eor
2667;2024010218;3;  10.6;  85.0;eor
2667;2024010219;3;  11.5;  78.0;eor
2667;2024010220;3;  11.9;  76.0;eor
2667;2024010221;3;  11.4;  80.0;eor
2667;2024010222;3;  12.0;  68.0;eor
2667;2024010223;3;  11.5;  70.0;eor
2667;2024010300;3;  11.6;  65.0;eor
2667;2024010301;3;  11.2;  65.0;eor
2667;2024010302;3;  10.8;  69.0;eor
2667;2024010303;3;  10.2;  73.0;eor
2667;2024010304;3;   9.6;  77.0;eor
2667;2024010305;3;  10.1;  75.0;eor
2667;2024010306;3;   9.9;  75.0;eor
2667;2024010307;3;  10.5;  71.0;eor
2667;2024010308;3;   9.8;  78.0;eor
2667;2024010309;3;  10.4;  71.0;eor
2667;2024010310;3;  10.0;  78.0;eor
2667;2024010311;3;  11.0;  71.0;eor
2667;2024010312;3;  11.3;  70.0;eor
2667;2024010313;3;  12.7;  63.0;eor
2667;2024010314;3;  11.5;  65.0;eor
2667;2024010315;3;   9.1;  85.0;eor
2667;2024010316;3;   9.9;  79.0;eor
2667;2024010317;3;   9.9;  76.0;eor
2667;2024010318;3;  10.0;  75.0;eor
2667;2024010319;3;  10.0;  71.0;eor
2667;2024010320;3;   8.8;  86.0;eor
2667;2024010321;3;   9.2;  80.0;eor
2667;2024010322;3;   9.3;  77.0;eor
2667;2024010323;3;   9.4;  74.0;eor
2667;2024010400;3;   7.8;  91.0;eor
2667;2024010401;3;   7.7;  89.0;eor
2667;2024010402;3;   7.8;  92.0;eor
2667;2024010403;3;   8.4;  86.0;eor
2667;2024010404;3;   8.1;  87.0;eor
2667;2024010405;3;   8.3;  86.0;eor
2667;2024010406;3;   7.7;  85.0;eor
2667;2024010407;3;   7.3;  90.0;eor
2667;2024010408;3;   7.3;  90.0;eor
2667;2024010409;3;   8.2;  83.0;eor
2667;2024010410;3;   8.7;  83.0;eor
2667;2024010411;3;   8.8;  81.0;eor
2667;2024010412;3;   8.8;  82.0;eor
2667;2024010413;3;   9.0;  78.0;eor
2667;2024010414;3;   9.3;  72.0;eor
2667;2024010415;3;   8.9;  72.0;eor
2667;2024010416;3;   8.8;  72.0;eor
2667;2024010417;3;   7.5;  74.0;eor
2667;2024010418;3;   5.1;  82.0;eor
2667;2024010419;3;   7.0;  76.0;eor
2667;2024010420;3;   6.9;  81.0;eor
2667;2024010421;3;   7.2;  78.0;eor
2667;2024010422;3;   7.4;  81.0;eor
2667;2024010423;3;   7.9;  81.0;eor
2667;2024010500;3;   7.4;  87.0;eor
2667;2024010501;3;   7.9;  83.0;eor
2667;2024010502;3;   7.8;  82.0;eor
2667;2024010503;3;   8.3;  79.0;eor
2667;2024010504;3;   7.8;  80.0;eor
2667;2024010505;3;   7.8;  80.0;eor
2667;2024010506;3;   8.6;  75.0;eor
2667;2024010507;3;   8.4;  71.0;eor
2667;2024010508;3;   9.0;  69.0;eor
2667;2024010509;3;   8.9;  70.0;eor
2667;2024010510;3;   8.8;  61.0;eor
2667;2024010511;3;   9.2;  60.0;eor
2667;2024010512;3;   8.6;  60.0;eor
2667;2024010513;3;   8.6;  62.0;eor
2667;2024010514;3;   8.4;  62.0;eor
2667;2024010515;3;   9.0;  58.0;eor
2667;2024010516;3;   8.4;  61.0;eor
2667;2024010517;3;   8.1;  62.0;eor
2667;2024010518;3;   7.8;  63.0;eor
2667;2024010519;3;   7.5;  66.0;eor
2667;2024010520;3;   7.3;  71.0;eor
2667;2024010521;3;   6.7;  79.0;eor
2667;2024010522;3;   6.5;  79.0;eor
2667;2024010523;3;   6.7;  79.0;eor
2667;2024010600;3;   6.7;  80.0;eor
2667;2024010601;3;   6.7;  82.0;eor
2667;2024010602;3;   5.9;  95.0;eor
2667;2024010603;3;   6.0;  95.0;eor
2667;2024010604;3;   6.0;  96.0;eor
2667;2024010605;3;   6.1;  95.0;eor
2667;2024010606;3;   6.3;  95.0;eor
2667;2024010607;3;   4.7;  94.0;eor
2667;2024010608;3;   4.3;  92.0;eor
2667;2024010609;3;   4.5;  93.0;eor
2667;2024010610;3;   4.9;  90.0;eor
2667;2024010611;3;   4.4;  93.0;eor
2667;2024010612;3;   4.4;  93.0;eor
2667;2024010613;3;   4.1;  93.0;eor
2667;2024010614;3;   3.4;  95.0;eor
2667;2024010615;3;   3.2;  93.0;eor
2667;2024010616;3;   2.8;  94.0;eor
2667;2024010617;3;   2.5;  95.0;eor
2667;2024010618;3;   2.2;  95.0;eor
2667;2024010619;3;   2.0;  94.0;eor
2667;2024010620;3;   1.9;  95.0;eor
2667;2024010621;3;   1.8;  94.0;eor
2667;2024010622;3;   1.8;  94.0;eor
2667;2024010623;3;   1.8;  94.0;eor
2667;2024010700;3;   1.9;  93.0;eor
2667;2024010701;3;   1.9;  93.0;eor
2667;2024010702;3;   2.0;  93.0;eor
2667;2024010703;3;   2.0;  92.0;eor
2667;2024010704;3;   1.9;  92.0;eor
2667;2024010705;3;   1.7;  93.0;eor
2667;2024010706;3;   1.6;  91.0;eor
2667;2024010707;3;   1.4;  88.0;eor
2667;2024010708;3;   1.5;  87.0;eor
2667;2024010709;3;   1.6;  87.0;eor
2667;2024010710;3;   1.4;  84.0;eor
2667;2024010711;3;   1.2;  85.0;eor
2667;2024010712;3;   1.6;  82.0;eor
2667;2024010713;3;   1.2;  79.0;eor
2667;2024010714;3;   0.4;  76.0;eor
2667;2024010715;3;   0.0;  74.0;eor
2667;2024010716;3;  -0.9;  70.0;eor
2667;2024010717;3;  -0.8;  66.0;eor
2667;2024010718;3;  -0.6;  65.0;eor
2667;2024010719;3;  -0.5;  65.0;eor
2667;2024010720;3;  -0.3;  63.0;eor
2667;2024010721;3;  -0.4;  64.0;eor
2667;2024010722;3;  -0.9;  67.0;eor
2667;2024010723;3;  -1.2;  65.0;eor
2667;2024010800;3;  -1.2;  61.0;eor
2667;2024010801;3;  -1.1;  59.0;eor
2667;2024010802;3;  -1.0;  60.0;eor
2667;2024010803;3;  -1.6;  70.0;eor
2667;2024010804;3;  -1.9;  71.0;eor
2667;2024010805;3;  -2.2;  74.0;eor
2667;2024010806;3;  -2.5;  83.0;eor
2667;2024010807;3;  -2.1;  77.0;eor
2667;2024010808;3;  -1.7;  69.0;eor
2667;2024010809;3;  -1.4;  67.0;eor
2667;2024010810;3;  -0.8;  66.0;eor
2667;2024010811;3;  -0.2;  59.0;eor
2667;2024010812;3;  -0.9;  48.0;eor
2667;2024010813;3;  -0.8;  46.0;eor
2667;2024010814;3;  -1.1;  45.0;eor
2667;2024010815;3;  -1.3;  49.0;eor
2667;2024010816;3;  -2.1;  52.0;eor
2667;2024010817;3;  -2.8;  54.0;eor
2667;2024010818;3;  -3.1;  54.0;eor
2667;2024010819;3;  -4.0;  57.0;eor
2667;2024010820;3;  -4.9;  60.0;eor
2667;2024010821;3;  -5.7;  66.0;eor
