MESS_DATUM,T_aussen_C,COP
2019010911,3.9,4.9541800643086775
2019010912,3.9,4.9541800643086775
2019010913,4.7,5.084983498349833
2019010914,4.5,5.051639344262295
2019010915,4.1,4.98624595469256
2019010916,4.0,4.97016129032258
2019010917,3.6,4.906847133757965
2019010918,3.3,4.860410094637225
2019010919,3.0,4.81484375
2019010920,2.1,4.6831306990881485
2019010921,2.2,4.697408536585364
2019010922,1.5,4.599253731343283
2019010923,1.8,4.640813253012049
2019011000,1.7,4.626876876876875
2019011001,1.4,4.585565476190473
2019011002,1.3,4.571958456973295
2019011003,1.0,4.531617647058823
2019011004,0.8,4.5051169590643285
2019011005,0.8,4.5051169590643285
2019011006,0.7,4.491982507288628
2019011007,0.4,4.453034682080921
2019011008,0.5,4.4659420289855065
2019011009,0.9,4.518328445747797
2019011010,0.9,4.518328445747797
2019011011,1.5,4.599253731343283
2019011012,2.0,4.668939393939394
2019011013,2.4,4.726226993865027
2019011014,2.5,4.740769230769231
2019011015,1.8,4.640813253012049
2019011016,1.0,4.531617647058823
2019011017,0.6,4.478924418604654
2019011018,0.6,4.478924418604654
2019011019,0.3,4.440201729106629
2019011020,0.5,4.4659420289855065
2019011021,1.1,4.544985250737466
2019011022,1.3,4.571958456973295
2019011023,1.0,4.531617647058823
2019011100,1.2,4.55843195266272
2019011101,1.3,4.571958456973295
2019011102,1.3,4.571958456973295
2019011103,1.1,4.544985250737466
2019011104,0.6,4.478924418604654
2019011105,0.7,4.491982507288628
2019011106,0.9,4.518328445747797
2019011107,1.0,4.531617647058823
2019011108,1.4,4.585565476190473
2019011109,1.6,4.613023952095811
2019011110,2.7,4.770123839009286
2019011111,3.4,4.875791139240502
2019011112,3.9,4.9541800643086775
2019011113,4.3,5.018729641693812
2019011114,4.9,5.118770764119597
2019011115,5.2,5.170302013422816
2019011116,5.8,5.276541095890413
2019011117,6.4,5.387237762237757
2019011118,6.7,5.444346289752648
2019011119,6.7,5.444346289752648
2019011120,6.6,5.4251760563380325
2019011121,6.5,5.406140350877193
2019011122,6.3,5.368466898954706
2019011123,6.5,5.406140350877193
2019011200,6.2,5.349826388888887
2019011201,6.1,5.331314878892737
2019011202,6.1,5.331314878892737
2019011203,5.9,5.294673539518896
2019011204,5.6,5.240646258503405
2019011205,5.5,5.222881355932203
2019011206,5.4,5.205236486486482
2019011207,5.4,5.205236486486482
2019011208,5.3,5.1877104377104395
2019011209,5.3,5.1877104377104395
2019011210,5.8,5.276541095890413
2019011211,6.0,5.312931034482758
2019011212,6.2,5.349826388888887
2019011213,6.2,5.349826388888887
2019011214,6.1,5.331314878892737
2019011215,6.3,5.368466898954706
2019011216,6.5,5.406140350877193
2019011217,7.0,5.502678571428571
2019011218,7.0,5.502678571428571
2019011219,7.0,5.502678571428571
2019011220,6.3,5.368466898954706
2019011221,6.6,5.4251760563380325
2019011222,6.6,5.4251760563380325
2019011223,6.7,5.444346289752648
2019011300,6.9,5.483096085409247
2019011301,7.0,5.502678571428571
2019011302,7.0,5.502678571428571
2019011303,6.8,5.463652482269505
2019011304,6.9,5.483096085409247
2019011305,7.0,5.502678571428571
2019011306,7.2,5.542266187050357
2019011307,7.4,5.582427536231879
2019011308,7.8,5.664522058823532
2019011309,8.3,5.770599250936332
2019011310,8.4,5.7922932330827015
2019011311,8.4,5.7922932330827015
2019011312,8.6,5.836174242424247
2019011313,8.6,5.836174242424247
2019011314,8.6,5.836174242424247
2019011315,8.6,5.836174242424247
2019011316,8.6,5.836174242424247
2019011317,8.7,5.858365019011404
2019011318,8.8,5.880725190839697
2019011319,8.2,5.749067164179102
2019011320,6.2,5.349826388888887
2019011321,7.1,5.52240143369176
2019011322,7.2,5.542266187050357
2019011323,6.8,5.463652482269505
2019011400,6.9,5.483096085409247
2019011401,4.8,5.101821192052982
2019011402,5.6,5.240646258503405
2019011403,6.3,5.368466898954706
2019011404,5.8,5.276541095890413
2019011405,6.0,5.312931034482758
2019011406,5.9,5.294673539518896
2019011407,5.9,5.294673539518896
2019011408,5.7,5.258532423208188
2019011409,4.3,5.018729641693812
2019011410,3.9,4.9541800643086775
2019011411,5.1,5.1530100334448194
2019011412,3.9,4.9541800643086775
2019011413,5.1,5.1530100334448194
2019011414,2.9,4.799844236760121
2019011415,2.9,4.799844236760121
2019011416,3.5,4.891269841269841
2019011417,2.9,4.799844236760121
2019011418,3.0,4.81484375
2019011419,3.4,4.875791139240502
2019011420,3.4,4.875791139240502
2019011421,3.1,4.829937304075238
2019011422,3.1,4.829937304075238
2019011423,2.3,4.7117737003058116
2019011500,1.5,4.599253731343283
2019011501,1.2,4.55843195266272
2019011502,0.6,4.478924418604654
2019011503,1.8,4.640813253012049
2019011504,2.6,4.755401234567905
2019011505,3.0,4.81484375
2019011506,2.8,4.784937888198759
2019011507,3.1,4.829937304075238
2019011508,3.7,4.92252396166134
2019011509,4.6,5.068256578947372
2019011510,5.6,5.240646258503405
2019011511,6.4,5.387237762237757
2019011512,7.2,5.542266187050357
2019011513,7.0,5.502678571428571
2019011514,7.0,5.502678571428571
2019011515,6.8,5.463652482269505
2019011516,6.5,5.406140350877193
2019011517,6.2,5.349826388888887
2019011518,6.3,5.368466898954706
2019011519,6.8,5.463652482269505
2019011520,6.7,5.444346289752648
2019011521,6.3,5.368466898954706
2019011522,5.7,5.258532423208188
2019011523,5.8,5.276541095890413
2019011600,6.0,5.312931034482758
2019011601,6.2,5.349826388888887
2019011602,6.1,5.331314878892737
2019011603,6.3,5.368466898954706
2019011604,6.1,5.331314878892737
2019011605,6.1,5.331314878892737
2019011606,6.1,5.331314878892737
2019011607,6.2,5.349826388888887
2019011608,5.9,5.294673539518896
2019011609,5.5,5.222881355932203
2019011610,5.3,5.1877104377104395
2019011611,5.4,5.205236486486482
2019011612,5.4,5.205236486486482
2019011613,5.6,5.240646258503405
2019011614,5.9,5.294673539518896
2019011615,5.7,5.258532423208188
2019011616,4.8,5.101821192052982
2019011617,4.3,5.018729641693812
2019011618,3.6,4.906847133757965
2019011619,3.1,4.829937304075238
2019011620,3.7,4.92252396166134
2019011621,4.9,5.118770764119597
2019011622,5.3,5.1877104377104395
2019011623,5.5,5.222881355932203
2019011700,5.7,5.258532423208188
2019011701,5.8,5.276541095890413
2019011702,5.6,5.240646258503405
2019011703,5.1,5.1530100334448194
2019011704,4.9,5.118770764119597
2019011705,5.0,5.135833333333333
2019011706,5.1,5.1530100334448194
2019011707,4.9,5.118770764119597
2019011708,4.9,5.118770764119597
2019011709,5.4,5.205236486486482
2019011710,5.9,5.294673539518896
2019011711,6.5,5.406140350877193
2019011712,5.8,5.276541095890413
2019011713,4.3,5.018729641693812
2019011714,3.9,4.9541800643086775
2019011715,3.9,4.9541800643086775
2019011716,3.4,4.875791139240502
2019011717,2.8,4.784937888198759
2019011718,2.5,4.740769230769231
2019011719,2.5,4.740769230769231
2019011720,1.5,4.599253731343283
2019011721,1.5,4.599253731343283
2019011722,1.6,4.613023952095811
2019011723,1.7,4.626876876876875
2019011800,1.7,4.626876876876875
2019011801,1.6,4.613023952095811
2019011802,1.5,4.599253731343283
2019011803,1.5,4.599253731343283
2019011804,1.1,4.544985250737466
2019011805,0.9,4.518328445747797
2019011806,0.3,4.440201729106629
2019011807,-0.8,4.303770949720668
2019011808,-1.7,4.198228882833789
2019011809,-1.1,4.268005540166202
2019011810,0.6,4.478924418604654
2019011811,1.4,4.585565476190473
2019011812,2.1,4.6831306990881485
2019011813,2.6,4.755401234567905
2019011814,2.7,4.770123839009286
2019011815,1.6,4.613023952095811
2019011816,0.7,4.491982507288628
2019011817,-0.1,4.389601139601137
2019011818,-0.7,4.3158263305322135
2019011819,-0.9,4.291782729805016
2019011820,-0.8,4.303770949720668
2019011821,-0.8,4.303770949720668
2019011822,-1.1,4.268005540166202
2019011823,-1.5,4.221232876712328
2019011900,-1.5,4.221232876712328
2019011901,-1.7,4.198228882833789
2019011902,-1.8,4.186820652173911
2019011903,-2.2,4.141801075268818
2019011904,-2.8,4.076058201058199
2019011905,-2.7,4.0868700265252
2019011906,-2.6,4.097739361702125
2019011907,-3.3,4.0228459530026095
2019011908,-3.7,3.9812661498708017
2019011909,-1.8,4.186820652173911
2019011910,-0.6,4.3279494382022445
2019011911,1.6,4.613023952095811
2019011912,2.1,4.6831306990881485
2019011913,2.8,4.784937888198759
2019011914,3.2,4.8451257861635195
2019011915,3.0,4.81484375
2019011916,1.0,4.531617647058823
2019011917,0.0,4.402142857142857
2019011918,-0.4,4.352401129943505
2019011919,-1.2,4.25621546961326
2019011920,-1.6,4.209699453551909
2019011921,-1.8,4.186820652173911
2019011922,-2.1,4.15296495956873
2019011923,-2.5,4.108666666666666
2019012000,-3.4,4.012369791666669
2019012001,-5.2,3.8327114427860702
2019012002,-4.7,3.8809823677581874
2019012003,-5.6,3.7949507389162536
2019012004,-4.3,3.920483460559795
